# DATI SIMULATI: prodotti da cubesat-mission-sim, non provengono da alcun satellite reale.
seed,detumble_time_h,release_rate_x_deg_s,release_rate_y_deg_s,release_rate_z_deg_s
1,2.1166666666666667,7.918482140228323,3.904110205973473,-4.6963351769756425
2,1.9852777777777777,8.342389657617682,5.303683048214033,-1.5084697294147593
3,1.1616666666666666,-2.174862393112789,-1.0358884245229902,-9.70550919544992
4,2.084722222222222,-9.348300037507466,-0.02963430902080393,-3.5508320456572906
5,2.225277777777778,8.95871041215386,0.8651299341852905,-4.358102562829674
6,2.1108333333333333,5.594469619158083,7.462140208952976,3.608098277797383
7,1.5191666666666668,-4.161485846804722,-9.076288246872592,0.5504790700166897
8,1.8702777777777777,-9.21354298599869,-0.7525842337152981,-3.8136914684223626
9,1.5172222222222222,8.775927590707404,-3.4737600149091397,3.3039501027526086
10,1.3722222222222222,-2.7993909069168406,1.4243883871473226,9.493920595456396
11,1.9058333333333333,-3.5832178401040995,-6.342032921587008,6.851216558529313
12,2.0494444444444446,7.659222239383114,-5.704085347886014,-2.966433048590719
13,1.9377777777777778,5.76685966599314,1.6869863281242274,7.9935853483567305
14,2.1841666666666666,-2.723310158813966,9.61865724307845,0.25497964443284754
15,1.7825,3.028682558946312,4.651924648879004,-8.317853029375211
16,2.2841666666666667,9.388488506553887,-1.9893576675647395,2.8104696463059273
17,1.3619444444444444,-9.193555863744068,0.09044138376747542,-3.9332366997575003
18,2.2183333333333333,8.971664187329756,4.1167678200426385,-1.6004575675868684
19,1.8788888888888888,3.942435292316421,-8.505251182873605,3.4810783217453025
20,1.9141666666666666,3.7089048081008285,-4.384312271101927,-8.186686205902337
21,1.6672222222222222,-0.4170991449739763,-7.05177605221798,-7.078028172635864
22,2.186111111111111,6.143414940320219,-6.797257546247006,4.006961781829029
23,2.076111111111111,1.834036168950713,-9.037605422798988,3.8675573108584858
24,1.7152777777777777,-4.6926155024966745,-3.1473015408015503,8.250688017189601
25,1.8005555555555555,0.1340610580862655,6.6428820268968485,7.473563140125037
26,2.236388888888889,9.502666238950999,-3.070493241032497,-0.5209660333214137
27,2.18,9.598229169557852,-1.8616069083429865,-2.099622948878777
28,2.0716666666666668,2.9939774435249964,9.540642311899177,-0.1106496455603673
29,1.9761111111111112,1.655662656923369,-5.96815733416643,7.8511068774475925
30,1.9011111111111112,-1.1200975823962185,9.22868366983114,-3.6846681164118698
31,2.0652777777777778,6.818847051226361,2.265576799282528,6.954889406635759
32,2.0475,-2.5361055311768204,-7.127674520590871,6.539451403845282
